block_name,district_n,state_name,Unq,district_name,longitude,latitude
Aska,Ganjam,Odisha,89,Ganjam,84.667,19.658
Junagarh,Kalahandi,Odisha,138,Kalahandi,82.944,19.806
Bissam Cuttack,Rayagada,Odisha,271,Rayagada,83.532,19.466
Nimapada,Puri,Odisha,267,Puri,85.982,20.055
Banapur,Khurda,Odisha,183,Khordha,85.127,19.848
Kuliana,Mayurbhanja,Odisha,225,Mayurbhanj,86.709,22.061
Lanjigarh,Kalahandi,Odisha,143,Kalahandi,83.335,19.799
Jamda,Mayurbhanja,Odisha,220,Mayurbhanj,86.057,22.276
Kolnara,Rayagada,Odisha,277,Rayagada,83.513,19.257
Polasara,Ganjam,Odisha,105,Ganjam,84.874,19.738
Lephripara,Sundargarh,Odisha,307,Sundargarh,83.805,22.141
Bhandaripokhari,Bhadrak,Odisha,36,Bhadrak,86.356,20.953
Jayapatna,Kalahandi,Odisha,137,Kalahandi,82.76,19.506
Borigumma,Koraput,Odisha,193,Koraput,82.61,19.094
Odapada,Dhenkanal,Odisha,80,Dhenkanal,85.419,20.708
Ramanguda,Rayagada,Odisha,280,Rayagada,83.701,19.192
Sanakhemundi,Ganjam,Odisha,108,Ganjam,84.527,19.45
Barpali,Bargarh,Odisha,24,Bargarh,83.586,21.174
Pattamundai,Kendrapada,Odisha,165,Kendrapara,86.579,20.563
Khunta,Mayurbhanja,Odisha,224,Mayurbhanj,86.595,21.734
Puintala,Bolangir,Odisha,49,Balangir,83.574,20.723
Binika,Sonepur,Odisha,290,Sonepur,83.755,21.019
Bari,Jajpur,Odisha,120,Jajpur,86.355,20.68
Gania,Nayagarh,Odisha,250,Nayagarh,84.865,20.459
Raighar,Nawarangpur,Odisha,245,Nabarangapur,82.029,19.942
Baneigarh,Sundargarh,Odisha,297,Sundargarh,84.868,21.727
Kirimira,Jharsuguda,Odisha,130,Jharsuguda,84.147,21.935
Chilika,Khurda,Odisha,187,Khordha,85.286,19.802
Korei,Jajpur,Odisha,126,Jajpur,86.184,20.973
Deogaon,Bolangir,Odisha,44,Balangir,83.377,20.576
Golamunda,Kalahandi,Odisha,136,Kalahandi,82.891,20.037
Champua,Keonjhar,Odisha,170,Keonjhar,85.675,21.965
Derabisi,Kendrapada,Odisha,160,Kendrapara,86.322,20.53
Jharsuguda,Jharsuguda,Odisha,129,Jharsuguda,83.969,21.853
Tikabali,Kandhamal,Odisha,157,Kandhamal,84.292,20.225
